id,s_uuid_s,document_uuid_s,name_s,publicname_s,substanceType_s,owner_name_s,endpoint_s,effectendpoint_s,endpointcategory_s,guidance_s,loValue_d,unit_s,textValue_s
NWKI-c3cf4a31-0c9c-4f77-934d-10de73beebc0/19634,NWKI-ada731e2-5e80-3cea-8a28-42e124bc110b,NWKI-c3cf4a31-0c9c-4f77-934d-10de73beebc0,JRCNM02001a,SiO2 JRCNM02001a,NPO_1373,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,,17.0,nm,
NWKI-c9771b0b-7af7-41d0-a78b-7ce3b3a6875a/19636,NWKI-ef8660fd-e624-3a94-91bc-ad5a6e47bcf3,NWKI-c9771b0b-7af7-41d0-a78b-7ce3b3a6875a,Shaw51 46,Fe3O4 MION-48 no. 24,NPO_1548,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,,33.0,nm,
NWKI-6e579894-fab6-4aed-9d7d-8c7e1539bb65/19639,NWKI-3481f716-18fa-39b3-aa54-4acb67877194,NWKI-6e579894-fab6-4aed-9d7d-8c7e1539bb65,Shaw51 18,Fe3O4 CLIO-GLY,NPO_1548,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,,38.0,nm,
NWKI-9a3841bd-f1d0-4bfa-be70-15bc002e591e/19641,NWKI-c7bee4e3-8884-3e29-ad8b-38decf6146fd,NWKI-9a3841bd-f1d0-4bfa-be70-15bc002e591e,Shaw51 09,Fe3O4 CLIO-COOH-FITC no.1,NPO_1548,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,,36.0,nm,
NWKI-1147344f-0284-4011-808e-9730d54e9f7b/19643,NWKI-a28e83ea-54da-3391-9bca-4a8891680403,NWKI-1147344f-0284-4011-808e-9730d54e9f7b,Cho2012 NM12,TiO2 TiO2NPa,CHEBI_51050,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,,5.6,nm,
NWKI-f97c39d7-964c-4b4f-a7d0-35972291d8e5/19642,NWKI-a28e83ea-54da-3391-9bca-4a8891680403,NWKI-f97c39d7-964c-4b4f-a7d0-35972291d8e5,Cho2012 NM12,TiO2 TiO2NPa,CHEBI_51050,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,HYDRODYNAMIC_SIZE,PC_GRANULOMETRY_SECTION,DLS,105.0,nm,
NWKI-26fac80f-8b96-406f-8d8b-f20f8da77f59/19644,NWKI-11702d43-e66d-306f-beb9-ae507a1068a0,NWKI-26fac80f-8b96-406f-8d8b-f20f8da77f59,E-GEOD-39330-M1,ZnO ZnO-1,NPO_1542,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,TEM,14.7,nm,
NWKI-3d7f8e11-9a10-40dd-9ab9-a26d0626fba4/19645,NWKI-11702d43-e66d-306f-beb9-ae507a1068a0,NWKI-3d7f8e11-9a10-40dd-9ab9-a26d0626fba4,E-GEOD-39330-M1,ZnO ZnO-1,NPO_1542,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,HYDRODYNAMIC_SIZE,PC_GRANULOMETRY_SECTION,DLS,159.0,nm,
NWKI-5370cced-5c50-42b5-911c-ab1150139026/19648,NWKI-3bbccc84-019f-369f-ba70-490fcfde4423,NWKI-5370cced-5c50-42b5-911c-ab1150139026,Cytotox2011Puzyn12,SnO2,NPO_SnO2,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,,15.0,nm,
NWKI-2960981d-0f62-487b-bb0d-d9e007bdd1ed/19650,NWKI-dd085452-8fd2-3025-a64f-2784fdf17879,NWKI-2960981d-0f62-487b-bb0d-d9e007bdd1ed,COD 1517080,Nanomaterial COD1517080,NPO_199,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,,25.0,Å,
